Ensembl Gene ID	EntrezGene ID	HGNC symbol
ENSG00000252303		RNU6-280P
ENSG00000281771		
ENSG00000281256		
ENSG00000283272		
ENSG00000280864		
ENSG00000280792		
ENSG00000282878	102723924	
ENSG00000283276		
ENSG00000281822		RNU1-62P
ENSG00000281384		
ENSG00000280505		
ENSG00000281764		
ENSG00000281316		DPPA2P2
ENSG00000280963		SERTAD4-AS1
ENSG00000280775		RNA5SP136
ENSG00000281876	101929901	
ENSG00000281766	23429	RYBP
ENSG00000281518	100132074	FOXO6
ENSG00000281614	3635	INPP5D
ENSG00000280584	29989	OBP2B
ENSG00000281230	56256	SERTAD4
ENSG00000281917	6566	SLC16A1
ENSG00000281067		ST13P19
ENSG00000281552		
ENSG00000280820		LCN1P1
ENSG00000280751		AKR7A2P1
ENSG00000280632		
ENSG00000281557	100996251	
ENSG00000281430		LCN1P2
ENSG00000281813	23522	KAT6B
ENSG00000280680	55733	HHAT
ENSG00000281309	6838	SURF6
ENSG00000281877	6195	RPS6KA1
ENSG00000281434	4705	NDUFA10
ENSG00000281226		
ENSG00000283081		
ENSG00000281393		
ENSG00000283034	353274	ZNF445
ENSG00000281459	29943	PADI1
ENSG00000281022	6837	MED22
ENSG00000281499		RNU5A-8P
ENSG00000280937		
ENSG00000281626	285346	ZNF852
ENSG00000280549	51702	PADI3
ENSG00000280669		RN7SL32P
ENSG00000280781		EI24P3
ENSG00000281707		
ENSG00000281810	100616188	MIR3972
ENSG00000280908	23569	PADI4
ENSG00000281699		
ENSG00000280948	100302190	MIR1976
ENSG00000281092		RN7SL679P
ENSG00000280876		
ENSG00000281894	55888	ZKSCAN7
ENSG00000281679		RNU7-29P
ENSG00000280806		
ENSG00000280926		
ENSG00000281835		
ENSG00000281805		
ENSG00000280858	6130	RPL7A
ENSG00000280949	353238	PADI6
ENSG00000281770		
ENSG00000281391		
ENSG00000281540	55920	RCC2
ENSG00000280889	26820	SNORD24
ENSG00000281243		SNORD36B
ENSG00000281907	26815	SNORD36A
ENSG00000281541	26813	SNORD36C
ENSG00000281456		
ENSG00000280661	285349	ZNF660
ENSG00000280795		MPRIPP1
ENSG00000280627	6834	SURF1
ENSG00000281089	55054	ATG16L1
ENSG00000281709	10168	ZNF197
ENSG00000281024	6835	SURF2
ENSG00000280907	100874094	ZNF197-AS1
ENSG00000281306	7584	ZNF35
ENSG00000280951	6836	SURF4
ENSG00000281102		
ENSG00000280872		SOCS5P3
ENSG00000281448	91392	ZNF502
ENSG00000281661	115560	ZNF501
ENSG00000281665	57456	KIAA1143
ENSG00000281245	169436	STKLD1
ENSG00000280706	57109	REXO4
ENSG00000280652	677775	SCARNA5
ENSG00000281388	677772	SCARNA6
ENSG00000280610	56992	KIF15
ENSG00000281857	6295	SAG
ENSG00000280928		
ENSG00000280516	131616	TMEM42
ENSG00000280516	693149	TMEM42
ENSG00000281886	7047	TGM4
ENSG00000280873	8527	DGKD
ENSG00000281244	11093	ADAMTS13
ENSG00000280701		
ENSG00000280674	51304	ZDHHC3
ENSG00000281623		
ENSG00000280479	11094	CACFD1
ENSG00000281165	11182	SLC2A6
ENSG00000281879	28	ABO
ENSG00000282873	605	BCL7A
ENSG00000280651	100506691	
ENSG00000282162		
ENSG00000281211		CTBP2P1
ENSG00000281509		
ENSG00000283302	100507747	
ENSG00000283035	100885778	NALCN-AS1
ENSG00000281934	440560	PRAMEF11
ENSG00000281865		LINC00411
ENSG00000281252	26080	FAM230C
ENSG00000281175		
ENSG00000281616		GGT4P
ENSG00000281178	22877	MLXIP
ENSG00000281084		
ENSG00000282116		PRAMEF30P
ENSG00000280895		SETD8P1
ENSG00000282175	343069	HNRNPCL1
ENSG00000281878		
ENSG00000281449	79370	BCL2L14
ENSG00000280477	22821	RASA3
ENSG00000282817	65122	PRAMEF2
ENSG00000282584	400735	PRAMEF4
ENSG00000282663	343071	PRAMEF10
ENSG00000280531		RASA3-IT1
ENSG00000279195	441871	PRAMEF7
ENSG00000282338		RNU6-1072P
ENSG00000282549		PRAMEF29P
ENSG00000281840		
ENSG00000282172		IGKV5-2
ENSG00000282119	440561	PRAMEF6
ENSG00000281442		
ENSG00000283344	103504734	MIR1244-4
ENSG00000281277	283150	FOXR1
ENSG00000282791		PRAMEF28
ENSG00000282437	101929983	PRAMEF27
ENSG00000281029		
ENSG00000283318		
ENSG00000281705		
ENSG00000282566	441873	PRAMEF25
ENSG00000281324	4040	LRP6
ENSG00000282559	649330	HNRNPCL3
ENSG00000282258		PRAMEF34P
ENSG00000282562		PRAMEF35P
ENSG00000280975	338657	CCDC84
ENSG00000282530	440563	HNRNPCL2
ENSG00000282468		PRAMEF36P
ENSG00000282341		
ENSG00000281987	645359	PRAMEF26
ENSG00000282095	101060301	HNRNPCL4
ENSG00000282298	343070	PRAMEF9
ENSG00000282741		PRAMEF13
ENSG00000282212	391003	PRAMEF18
ENSG00000282289		PRAMEF31P
ENSG00000281913		RPL23AP64
ENSG00000280582		
ENSG00000282424	343068	PRAMEF5
ENSG00000281697		
ENSG00000282216		PRAMEF32P
ENSG00000282288		RNU6-443P
ENSG00000282288		RNU6-771P
ENSG00000281086		
ENSG00000280831	6230	RPS25
ENSG00000282583	391002	PRAMEF8
